name,Vol-Iss
APS_PRL,"Vol. 128, Iss. 18"
APS_PRX,"Vol. 12, Iss. 2"
APS_PRB,"Vol. 105, Iss. 17-20"
APS_RMP,"Vol. 94, Iss. 2"
AIP_APL,"Vol. 120, Iss. 17"
AIP_APR,"Vol. 9, Iss. 2"
ELSEVIER_ActaMater,Vol. 233-232
ELSEVIER_Carbon,Vol. 185-184
ELSEVIER_Corrosion_Science,Vol. 203-202
ELSEVIER_Journal_of_Catalysis,Vol. 410-409
ELSEVIER_Nanotoday,Vol. 44-43-42
ACS_JACS,"Vol. 144, Iss. 17"
ACS_NANOLetters,"Vol. 22, Iss. 8"
ACS_NANO,"Vol. 16, Iss. 4"
ACS_AMI,"Vol. 14, Iss. 17"
ACS_JPCL,"Vol. 13, Iss. 17"
ACS_JPCA,"Vol. 126, Iss. 17"
ACS_JPCB,"Vol. 126, Iss. 17"
ACS_JPCC,"Vol. 126, Iss. 17"
AAAS_Science,"Vol. 373, Iss. 6558"
AAAS_ScienceAdvances,"Vol. 7, Iss. 34"
Nature,"Vol. 605, Iss. 7908"
Nature_communications,06 May 2022
Nature_materials,"Vol. 21, Iss. 5"
Nature_nanotechnology,"Vol. 17, Iss. 4"
Wiley_AFM,"Vol. 32, Iss. 18"
Wiley_Angewandte chemie,"Vol. 61, Iss. 20"
Wiley_Small,"Vol. 18, Iss. 18"
Wiley_Advanced_Materials_Interfaces,"Vol. 9, Iss. 13"
Wiley_Advanced_Materials,"Vol. 34, Iss. 18"
Wiley_Advanced_Science,"Vol. 9, Iss. 13"
PNAS,"Vol. 119, Iss. 10"
Tribology_Letters,"Vol. 70, Iss. 2"
